Year,Primary Enrollment,GDP
2001,9436.0,23822.0601178964
2001,3033019.0,23822.0601178964
2001,27502120.0,23822.0601178964
2001,397459.0,23822.0601178964
2001,,23822.0601178964
2001,656589.0,23822.0601178964
2001,19041224.0,23822.0601178964
2001,868070.0,23822.0601178964
2001,1282041.0,23822.0601178964
2001,426475.0,23822.0601178964
2001,3623150.0,23822.0601178964
2001,1618.0,23822.0601178964
2001,355532.0,23822.0601178964
2001,100282080.0,23822.0601178964
2001,316889.0,23822.0601178964
2001,3281287.25,23822.0601178964
2001,14204954.0,23822.0601178964
2001,408249.0,23822.0601178964
2001,4317368.0,23822.0601178964
2001,12759918.0,23822.0601178964
2001,,23822.0601178964
2001,520846.0,23822.0601178964
2001,3221253.0,23822.0601178964
2001,77441912.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,801545.0,23822.0601178964
2001,966548.0,23822.0601178964
2001,398978.0,23822.0601178964
2001,309930.84375,23822.0601178964
2001,2845836.0,23822.0601178964
2001,134085.0,23822.0601178964
2001,360677.0,23822.0601178964
2001,2829787.0,23822.0601178964
2001,84244000.0,23822.0601178964
2001,48294536.0,23822.0601178964
2001,,23822.0601178964
2001,1767650.0,23822.0601178964
2001,293362976.0,23822.0601178964
2001,571648320.0,23822.0601178964
2001,415007.0,23822.0601178964
2001,202838672.0,23822.0601178964
2001,211650.0,23822.0601178964
2001,33266.0,23822.0601178964
2001,125634.0,23822.0601178964
2001,45663.0,23822.0601178964
2001,,23822.0601178964
2001,3842000.0,23822.0601178964
2001,71763048.0,23822.0601178964
2001,1985.0,23822.0601178964
2001,2307500.0,23822.0601178964
2001,71054.0,23822.0601178964
2001,42003380.0,23822.0601178964
2001,14792528.0,23822.0601178964
2001,,23822.0601178964
2001,523353792.0,23822.0601178964
2001,123661.0,23822.0601178964
2001,1127360.0,23822.0601178964
2001,33530.0,23822.0601178964
2001,4781543.0,23822.0601178964
2001,37505368.0,23822.0601178964
2001,,23822.0601178964
2001,250436.0,23822.0601178964
2001,,23822.0601178964
2001,235461.0,23822.0601178964
2001,69925840.0,23822.0601178964
2001,62465.0,23822.0601178964
2001,5702348.0,23822.0601178964
2001,185180.0,23822.0601178964
2001,37106392.0,23822.0601178964
2001,17033.0,23822.0601178964
2001,149855984.0,23822.0601178964
2001,95050168.0,23822.0601178964
2001,155366.0,23822.0601178964
2001,1373904.0,23822.0601178964
2001,6694754.0,23822.0601178964
2001,1427.0,23822.0601178964
2001,4881588.0,23822.0601178964
2001,6900916.0,23822.0601178964
2001,2065348.0,23822.0601178964
2001,229990800.0,23822.0601178964
2001,359557.0,23822.0601178964
2001,,23822.0601178964
2001,2597886.0,23822.0601178964
2001,19052.0,23822.0601178964
2001,3423480.0,23822.0601178964
2001,2775.0,23822.0601178964
2001,,23822.0601178964
2001,9751434.0,23822.0601178964
2001,36482.0,23822.0601178964
2001,654176384.0,23822.0601178964
2001,29203.0,23822.0601178964
2001,,23822.0601178964
2001,2643579.0,23822.0601178964
2001,7413415.0,23822.0601178964
2001,1625647.0,23822.0601178964
2001,2534796.0,23822.0601178964
2001,68477000.0,23822.0601178964
2001,,23822.0601178964
2001,680100.0,23822.0601178964
2001,6023714.0,23822.0601178964
2001,1475572.0,23822.0601178964
2001,150000000.0,23822.0601178964
2001,,23822.0601178964
2001,2687746.0,23822.0601178964
2001,1159721.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,554308.0,23822.0601178964
2001,967748.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,344346.0,23822.0601178964
2001,95040384.0,23822.0601178964
2001,,23822.0601178964
2001,1090172.0,23822.0601178964
2001,95050168.0,23822.0601178964
2001,,23822.0601178964
2001,64852.0,23822.0601178964
2001,300189.0,23822.0601178964
2001,86388.0,23822.0601178964
2001,786027.0,23822.0601178964
2001,212063.0,23822.0601178964
2001,,23822.0601178964
2001,9782.0,23822.0601178964
2001,2835023.0,23822.0601178964
2001,2176.0,23822.0601178964
2001,984224.0,23822.0601178964
2001,199697952.0,23822.0601178964
2001,27626190.0,23822.0601178964
2001,945103.0,23822.0601178964
2001,4444785.5,23822.0601178964
2001,25481.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,6843022.0,23822.0601178964
2001,537744.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,130132544.0,23822.0601178964
2001,2046861.0,23822.0601178964
2001,2689052.0,23822.0601178964
2001,,23822.0601178964
2001,500921.0,23822.0601178964
2001,5131463.0,23822.0601178964
2001,,23822.0601178964
2001,90640.0,23822.0601178964
2001,552302.0,23822.0601178964
2001,853567.5625,23822.0601178964
2001,1006888.0,23822.0601178964
2001,,23822.0601178964
2001,3549.0,23822.0601178964
2001,63637.0,23822.0601178964
2001,630680.0,23822.0601178964
2001,3519051.0,23822.0601178964
2001,42392.0,23822.0601178964
2001,11430.0,23822.0601178964
2001,395870.0,23822.0601178964
2001,,23822.0601178964
2001,4720950.0,23822.0601178964
2001,201293616.0,23822.0601178964
2001,302023904.0,23822.0601178964
2001,215975424.0,23822.0601178964
2001,329451.0,23822.0601178964
2001,88204.0,23822.0601178964
2001,44487.0,23822.0601178964
2001,24225.0,23822.0601178964
2001,766087.0,23822.0601178964
2001,,23822.0601178964
2001,773623.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,274233.0,23822.0601178964
2001,,23822.0601178964
2001,36776400.0,23822.0601178964
2001,280248.0,23822.0601178964
2001,4950674.0,23822.0601178964
2001,176302.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,1914395.0,23822.0601178964
2001,24209300.0,23822.0601178964
2001,392339.0,23822.0601178964
2001,750699.0,23822.0601178964
2001,771889.0,23822.0601178964
2001,1054936.0,23822.0601178964
2001,901291.0,23822.0601178964
2001,,23822.0601178964
2001,374361.0,23822.0601178964
2001,79407.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,560931.0,23822.0601178964
2001,45246.0,23822.0601178964
2001,4959.0,23822.0601178964
2001,1469558.0,23822.0601178964
2001,19727684.0,23822.0601178964
2001,693760.0,23822.0601178964
2001,53863480.0,23822.0601178964
2001,458585.0,23822.0601178964
2001,828113.0,23822.0601178964
2001,,23822.0601178964
2001,489768.0,23822.0601178964
2001,436972480.0,23822.0601178964
2001,577813696.0,23822.0601178964
2001,141211792.0,23822.0601178964
2001,47701120.0,23822.0601178964
2001,28690132.0,23822.0601178964
2001,93140096.0,23822.0601178964
2001,,23822.0601178964
2001,113826976.0,23822.0601178964
2001,,23822.0601178964
2001,443617.0,23822.0601178964
2001,,23822.0601178964
2001,31786.0,23822.0601178964
2001,195638.0,23822.0601178964
2001,684986.0,23822.0601178964
2001,328496.0,23822.0601178964
2001,,23822.0601178964
2001,7394582.0,23822.0601178964
2001,1190069.0,23822.0601178964
2001,5148371.0,23822.0601178964
2001,458660.0,23822.0601178964
2001,2431142.0,23822.0601178964
2001,15693.0,23822.0601178964
2001,6717.0,23822.0601178964
2001,4099649.0,23822.0601178964
2001,141419.0,23822.0601178964
2001,63743672.0,23822.0601178964
2001,1955060.0,23822.0601178964
2001,476489.0,23822.0601178964
2001,2810337.0,23822.0601178964
2001,62111752.0,23822.0601178964
2001,7968437.0,23822.0601178964
2001,18364116.0,23822.0601178964
2001,7856340.0,23822.0601178964
2001,,23822.0601178964
2001,298691.0,23822.0601178964
2001,2505203.0,23822.0601178964
2001,117289.0,23822.0601178964
2001,6650841.0,23822.0601178964
2001,30143996.0,23822.0601178964
2001,71879544.0,23822.0601178964
2001,392150.0,23822.0601178964
2001,3837902.0,23822.0601178964
2001,,23822.0601178964
2001,,23822.0601178964
2001,265714.0,23822.0601178964
2001,4596110.0,23822.0601178964
2001,277119.0,23822.0601178964
2001,115312.0,23822.0601178964
2001,2377.0,23822.0601178964
2001,498175.0,23822.0601178964
2001,2446417.0,23822.0601178964
2001,109292.0,23822.0601178964
2001,,23822.0601178964
2001,1971539.0,23822.0601178964
2001,,23822.0601178964
2001,15974.0,23822.0601178964
2001,79104600.0,23822.0601178964
2001,78477.0,23822.0601178964
2001,181655.0,23822.0601178964
2001,181835.0,23822.0601178964
2001,853623.0,23822.0601178964
2001,636460.0,23822.0601178964
2002,354421.0,24255.3385818322
2002,1566.0,24255.3385818322
2002,3853618.0,24255.3385818322
2002,429445.0,24255.3385818322
2002,1287069.0,24255.3385818322
2002,923391.0,24255.3385818322
2002,760987.0,24255.3385818322
2002,,24255.3385818322
2002,404783.0,24255.3385818322
